date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:08	39528/39528	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-8793de20.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-8793de20.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
21:58:09	24568/24568	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-504849d7.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-504849d7.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
21:58:09	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Jan%202026%2014:37:55%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
21:58:10	4468/4468	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-91b02774.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-91b02774.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
21:58:11	18804/18804	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-3023b9b5.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-3023b9b5.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
21:58:12	44408/44408	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-adb10c2d.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-adb10c2d.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
21:58:13	22288/22288	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-201f405c.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-201f405c.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
21:58:14	13964/13964	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-f99b850d.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-f99b850d.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
21:58:15	28536/28536	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-1e5ae9a4.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-1e5ae9a4.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
21:58:16	44192/44192	---M--	200	added ('OK')	font/woff2	date:Mon,%2012%20Jan%202026%2008:08:20%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-a3b1f4cc.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/fonts/roboto-a3b1f4cc.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1768205308)
